checkpoint,checkpoint_kind,checkpoint_epoch,image_id,true_class,true_label,hard_competitor,hard_competitor_label,clean_loss,clean_true_prob,clean_competitor_prob,clean_margin,clean_prediction,correct_clean,clean_grad_norm,null_cosine,null_partner_image_id,null_partner_same_class
init,init,-1,3891,67,66,46,45,5.3293362,0.0048472867,0.018442538,-0.013595251,46,False,51.102097,,-1,False
init,init,-1,5405,93,92,8,7,5.1508222,0.0057946388,0.029260879,-0.023466241,8,False,47.882935,-0.010250758,3891,False
init,init,-1,920,17,16,129,128,4.9145832,0.0073387772,0.019088544,-0.011749767,129,False,53.14519,-0.011167811,5405,False
init,init,-1,5043,87,86,86,85,5.2474413,0.0052609635,0.024980288,-0.019719325,86,False,41.36594,-0.059690431,920,False
init,init,-1,11743,200,199,4,3,6.0833826,0.002280449,0.028298527,-0.026018078,4,False,43.434458,0.016497653,5043,False
init,init,-1,3563,62,61,96,95,4.3069057,0.013475179,0.030096956,-0.016621777,96,False,48.379071,0.027892697,11743,False
init,init,-1,956,18,17,129,128,5.763206,0.0031410253,0.034322821,-0.031181795,129,False,56.98135,-0.047547308,3563,False
init,init,-1,11179,190,189,129,128,5.5132542,0.004032963,0.027209336,-0.023176373,129,False,54.008683,0.019861203,956,False
init,init,-1,4184,72,71,90,89,5.3834085,0.0045921439,0.031670053,-0.027077909,90,False,66.212546,-0.029072623,11179,False
init,init,-1,881,16,15,4,3,5.4521208,0.0042872033,0.018567296,-0.014280092,4,False,39.916883,-0.016654112,4184,False
init,init,-1,2199,39,38,129,128,5.0256996,0.006566992,0.033056118,-0.026489126,129,False,43.636703,-0.010132859,881,False
init,init,-1,4531,78,77,129,128,6.6057472,0.0013525723,0.026309306,-0.024956733,129,False,49.114749,-0.023888936,2199,False
init,init,-1,782,15,14,129,128,5.9487257,0.0026091633,0.021578405,-0.018969242,129,False,39.85669,0.031552957,4531,False
init,init,-1,3068,53,52,8,7,5.3219042,0.0048834444,0.033176355,-0.028292911,8,False,53.963995,0.0067494137,782,False
init,init,-1,1464,27,26,129,128,6.1092343,0.0022222518,0.039057195,-0.036834943,129,False,70.450274,-0.01610799,3068,False
init,init,-1,11718,199,198,129,128,6.5585804,0.0014178973,0.047483351,-0.046065454,129,False,60.953016,0.0051791416,1464,False
init,init,-1,736,14,13,4,3,5.6113739,0.0036560418,0.079039358,-0.075383316,4,False,64.572699,-0.024287884,11718,False
init,init,-1,10670,182,181,168,167,5.3139286,0.0049225516,0.02699556,-0.022073009,168,False,43.943068,-0.051288899,736,False
init,init,-1,7916,135,134,8,7,6.0124598,0.0024480599,0.034637392,-0.032189332,8,False,51.100958,0.021080212,10670,False
init,init,-1,8376,143,142,8,7,6.9328356,0.00097523187,0.025802363,-0.024827131,8,False,71.393619,-0.022008249,7916,False
init,init,-1,4061,70,69,114,113,5.1326265,0.0059010414,0.031875111,-0.02597407,114,False,53.972044,-0.0047919859,8376,False
init,init,-1,6612,113,112,4,3,5.6903148,0.0033785293,0.029706012,-0.026327483,4,False,52.005001,-0.013850053,4061,False
init,init,-1,6151,106,105,46,45,6.5250211,0.0014662881,0.023845958,-0.022379669,46,False,55.350392,-0.016474174,6612,False
init,init,-1,4937,85,84,86,85,5.1803188,0.0056262105,0.016969247,-0.011343036,86,False,46.292587,-0.034368542,6151,False
init,init,-1,6726,115,114,129,128,5.424921,0.0044054147,0.048142422,-0.043737007,129,False,53.91058,0.032117773,4937,False
init,init,-1,8770,150,149,13,12,4.6866789,0.0092172502,0.017175926,-0.0079586757,13,False,47.357396,-0.0051894764,6726,False
init,init,-1,4112,71,70,86,85,5.512547,0.0040358147,0.019761074,-0.01572526,86,False,44.010878,-0.047321955,8770,False
init,init,-1,6465,111,110,129,128,5.2289753,0.0053590131,0.021432154,-0.016073141,129,False,42.586811,-0.022439556,4112,False
init,init,-1,2001,36,35,129,128,5.3563004,0.0047183307,0.027341807,-0.022623477,129,False,46.661925,0.0046974464,6465,False
init,init,-1,7827,134,133,58,57,4.9844561,0.006843498,0.019654281,-0.012810783,58,False,34.293027,-0.029533559,2001,False
init,init,-1,11579,197,196,58,57,6.2188253,0.001991584,0.019549847,-0.017558263,58,False,45.42022,-0.01142811,7827,False
init,init,-1,7688,132,131,129,128,5.3068366,0.0049575847,0.02813144,-0.023173856,129,False,51.691517,-0.0079523438,11579,False
init,init,-1,6623,114,113,95,94,5.3123636,0.0049302601,0.024293818,-0.019363557,95,False,45.806333,0.018409639,7688,False
init,init,-1,2550,45,44,153,152,4.9235039,0.0072735995,0.022120275,-0.014846675,153,False,59.353643,0.009331964,6623,False
init,init,-1,6381,109,108,171,170,5.5496912,0.0038886573,0.022828557,-0.018939899,171,False,44.3468,-0.010920574,2550,False
init,init,-1,10708,182,181,168,167,5.4849153,0.0041488861,0.021132428,-0.016983542,168,False,42.76728,0.0005280901,6381,False
init,init,-1,479,9,8,100,99,5.6990519,0.0033491382,0.032852188,-0.02950305,100,False,57.606896,0.04592075,10708,False
init,init,-1,4952,85,84,129,128,5.2604251,0.0051930971,0.021840779,-0.016647682,129,False,48.505736,-0.019727242,479,False
init,init,-1,10656,181,180,183,182,5.1817474,0.0056181806,0.030937815,-0.025319634,183,False,46.981751,-0.060645768,4952,False
init,init,-1,3630,63,62,8,7,5.2700615,0.0051432932,0.020915059,-0.015771766,8,False,36.233975,-0.001824172,10656,False
init,init,-1,10772,183,182,168,167,4.7983146,0.0082436297,0.019091452,-0.010847822,168,False,45.500266,0.011022425,3630,False
init,init,-1,4129,71,70,90,89,5.9692774,0.0025560881,0.033915307,-0.031359219,90,False,56.485481,-0.018663577,10772,False
init,init,-1,11036,188,187,171,170,6.3947783,0.0016702564,0.02845744,-0.026787184,171,False,66.080575,-0.023037917,4129,False
init,init,-1,5450,94,93,8,7,5.5763049,0.003786531,0.050384462,-0.046597931,8,False,69.920855,0.06167811,11036,False
init,init,-1,4776,82,81,129,128,6.2262459,0.0019768598,0.025090007,-0.023113147,129,False,49.433543,-0.0034721358,5450,False
init,init,-1,6166,106,105,183,182,6.5056176,0.0014950173,0.023968745,-0.022473728,183,False,61.499908,-0.014769294,4776,False
init,init,-1,6776,116,115,129,128,4.7026277,0.0090714097,0.031774722,-0.022703312,129,False,52.869029,0.00070600159,6166,False
init,init,-1,5910,101,100,55,54,7.8469381,0.00039094721,0.025688862,-0.025297915,55,False,59.068099,-0.030729043,6776,False
init,init,-1,2998,52,51,8,7,5.3839002,0.0045898859,0.023581877,-0.018991991,8,False,46.456943,0.0048557907,5910,False
init,init,-1,3365,58,57,100,99,4.5373688,0.010701529,0.035257429,-0.0245559,100,False,61.360789,-0.00087115543,2998,False
init,init,-1,10968,187,186,46,45,6.296114,0.0018434551,0.034511194,-0.032667739,46,False,83.806578,0.031352832,3365,False
init,init,-1,10980,187,186,8,7,5.4984226,0.0040932228,0.026884589,-0.022791367,8,False,56.597493,0.38525639,10968,True
init,init,-1,9585,163,162,129,128,6.7553921,0.0011645828,0.026455414,-0.025290831,129,False,42.260547,0.023634943,10980,False
init,init,-1,5511,95,94,90,89,4.831718,0.0079728123,0.027424833,-0.019452021,90,False,55.481003,-0.010474467,9585,False
init,init,-1,1671,30,29,114,113,5.3660688,0.0046724635,0.02044609,-0.015773627,114,False,52.673234,0.033801248,5511,False
init,init,-1,3774,65,64,8,7,5.146821,0.0058178687,0.021351637,-0.015533769,8,False,42.352237,0.027803801,1671,False
init,init,-1,10791,184,183,8,7,5.2445779,0.005276049,0.021530872,-0.016254823,8,False,54.82229,0.0023265118,3774,False
init,init,-1,269,5,4,129,128,5.381865,0.0045992355,0.02342893,-0.018829694,129,False,53.336793,0.066076951,10791,False
init,init,-1,4032,70,69,129,128,5.0489511,0.0064160591,0.052226245,-0.045810186,129,False,56.10182,0.0076163323,269,False
init,init,-1,5581,96,95,56,55,5.8768606,0.0028035732,0.020859323,-0.01805575,56,False,59.537661,0.0086586855,4032,False
init,init,-1,9536,163,162,129,128,7.5317545,0.0005357975,0.031109834,-0.030574037,129,False,65.874944,0.047312231,5581,False
init,init,-1,2615,46,45,27,26,3.9440184,0.019370217,0.024991952,-0.005621735,27,False,61.882478,-0.058534895,9536,False
init,init,-1,2793,49,48,46,45,5.7071199,0.0033222272,0.031461194,-0.028138967,46,False,48.253554,-0.010612411,2615,False
init,init,-1,8764,150,149,129,128,3.5801337,0.027871974,0.050819706,-0.022947732,129,False,49.712622,-0.059647178,2793,False
init,init,-1,2169,38,37,129,128,4.8469205,0.0078525217,0.024166064,-0.016313543,129,False,43.354543,0.023912157,8764,False
init,init,-1,2664,47,46,46,45,6.2389717,0.0019518622,0.022874987,-0.020923125,46,False,55.890703,0.017880784,2169,False
init,init,-1,6240,107,106,129,128,5.1054096,0.0060638534,0.029031264,-0.02296741,129,False,45.392965,-0.02591064,2664,False
init,init,-1,10156,173,172,129,128,4.3818955,0.012501637,0.035349097,-0.022847461,129,False,46.870577,0.018465975,6240,False
init,init,-1,9794,167,166,183,182,7.05931,0.0008593711,0.020912673,-0.020053302,183,False,48.182513,-0.083529481,10156,False
init,init,-1,9937,169,168,129,128,6.313447,0.0018117774,0.026884111,-0.025072333,129,False,42.861247,0.0065675621,9794,False
init,init,-1,9237,158,157,129,128,6.6920285,0.0012407632,0.028043605,-0.026802842,129,False,50.91797,0.096549137,9937,False
init,init,-1,8240,141,140,129,128,3.7568495,0.023357211,0.031839576,-0.0084823649,129,False,53.44069,-0.039770168,9237,False
init,init,-1,2115,38,37,129,128,5.1276455,0.0059305066,0.046794932,-0.040864426,129,False,59.143651,-0.035068518,8240,False
init,init,-1,2563,45,44,129,128,4.610146,0.009950364,0.021003768,-0.011053404,129,False,50.643849,0.021664496,2115,False
init,init,-1,2526,44,43,171,170,4.099267,0.016584827,0.032895152,-0.016310325,171,False,64.701988,0.018370721,2563,False
init,init,-1,6959,119,118,129,128,6.2455282,0.0019391055,0.023120083,-0.021180977,129,False,54.442375,0.011921758,2526,False
init,init,-1,10368,177,176,4,3,5.9026899,0.0027320853,0.025679989,-0.022947903,4,False,55.638913,-0.04211832,6959,False
init,init,-1,6810,117,116,95,94,5.7594776,0.0031527574,0.02207897,-0.018926213,95,False,44.14081,0.033573809,10368,False
init,init,-1,1601,29,28,129,128,5.5747209,0.0037925341,0.039507236,-0.035714702,129,False,56.99563,-0.029212415,6810,False
init,init,-1,10767,183,182,58,57,4.1620889,0.015574993,0.02029491,-0.0047199177,58,False,53.532726,-0.073948292,1601,False
init,init,-1,138,3,2,8,7,5.0842381,0.0061936048,0.031007892,-0.024814287,8,False,49.825841,0.02309962,10767,False
init,init,-1,11555,197,196,129,128,6.0767498,0.0022956252,0.042741373,-0.040445748,129,False,55.092638,0.038297919,138,False
init,init,-1,5018,86,85,38,37,4.8931985,0.0074974061,0.017921126,-0.010423719,38,False,45.889559,0.028947331,11555,False
init,init,-1,10036,171,170,8,7,4.6043353,0.010008352,0.030363612,-0.02035526,8,False,47.999757,-0.03410427,5018,False
init,init,-1,6388,110,109,129,128,5.6478162,0.0035252071,0.046915658,-0.043390451,129,False,50.874655,-0.026257331,10036,False
init,init,-1,5211,90,89,140,139,4.7221928,0.0088956514,0.021158909,-0.012263258,140,False,49.835642,-0.014089698,6388,False
init,init,-1,7367,126,125,4,3,6.3898454,0.0016785158,0.021951672,-0.020273156,4,False,61.533349,-0.0068142276,5211,False
init,init,-1,290,6,5,129,128,6.3856478,0.0016855764,0.029601118,-0.027915541,129,False,50.455131,-0.0003870523,7367,False
init,init,-1,8666,148,147,129,128,4.0855074,0.016814603,0.048689108,-0.031874506,129,False,56.861176,-0.0052840457,290,False
init,init,-1,5144,88,87,129,128,5.3201756,0.0048918952,0.033733722,-0.028841827,129,False,59.706793,0.028246168,8666,False
init,init,-1,3275,57,56,90,89,6.4513721,0.0015783553,0.034667686,-0.03308933,90,False,61.669051,-0.01562898,5144,False
init,init,-1,113,2,1,96,95,4.233799,0.014497216,0.028135311,-0.013638095,96,False,53.159393,0.010844322,3275,False
init,init,-1,3819,66,65,186,185,5.2882247,0.0050507197,0.017908687,-0.012857967,186,False,42.228628,0.044987079,113,False
init,init,-1,9415,161,160,129,128,6.0828781,0.0022816001,0.038435522,-0.036153922,129,False,65.051447,0.057959775,3819,False
init,init,-1,1298,24,23,44,43,6.9473791,0.00096115057,0.032044496,-0.031083346,44,False,60.766828,-0.072225927,9415,False
init,init,-1,5560,95,94,28,27,5.1082063,0.0060469201,0.020760674,-0.014713754,28,False,41.858903,-0.043741069,1298,False
init,init,-1,10914,186,185,8,7,5.2693143,0.0051471381,0.017189369,-0.01204223,8,False,53.079359,0.031943394,5560,False
init,init,-1,4238,73,72,8,7,6.7692699,0.0011485331,0.035634059,-0.034485526,8,False,68.624561,-0.029292295,10914,False
init,init,-1,4661,80,79,129,128,6.350667,0.0017455821,0.037594918,-0.035849336,129,False,47.967863,-0.0014872877,4238,False
init,init,-1,2841,50,49,8,7,6.0717707,0.0023070839,0.018355265,-0.016048181,8,False,45.237961,-0.0030110059,4661,False
init,init,-1,6566,113,112,129,128,4.9838138,0.0068478975,0.023014031,-0.016166134,129,False,49.478567,-0.036239378,2841,False
init,init,-1,10350,176,175,129,128,5.7703624,0.0031186275,0.036956884,-0.033838256,129,False,56.700543,-0.0097488467,6566,False
init,init,-1,7555,129,128,8,7,3.0987194,0.045106933,0.036320563,0.0087863691,129,True,55.179896,-0.040283637,10350,False
init,init,-1,1074,20,19,88,87,5.6807475,0.0034110076,0.019981584,-0.016570576,88,False,42.298702,-0.062435852,7555,False
init,init,-1,7464,128,127,129,128,5.0409541,0.0064675747,0.019718159,-0.013250584,129,False,42.628587,-0.044472393,1074,False
init,init,-1,8913,152,151,129,128,5.8207936,0.0029652508,0.032601163,-0.029635912,129,False,48.760013,-0.020594372,7464,False
init,init,-1,3196,56,55,46,45,4.57582,0.010297853,0.019699449,-0.0094015962,46,False,47.715259,0.0014834702,8913,False
init,init,-1,8123,139,138,114,113,5.5832853,0.0037601921,0.030713987,-0.026953795,114,False,49.184224,-0.012026694,3196,False
init,init,-1,7080,121,120,129,128,6.2670975,0.0018977291,0.033101294,-0.031203565,129,False,49.576931,0.018786236,8123,False
init,init,-1,3435,60,59,186,185,5.0164642,0.0066279201,0.019193355,-0.012565435,186,False,40.979449,-0.0082804218,7080,False
init,init,-1,6277,108,107,129,128,5.6535525,0.0035050435,0.024236381,-0.020731338,129,False,48.95168,-0.0052765359,3435,False
init,init,-1,6248,107,106,129,128,4.5388479,0.010685711,0.028858257,-0.018172546,129,False,46.937996,-0.05606233,6277,False
init,init,-1,1241,23,22,129,128,6.767065,0.0011510683,0.024040028,-0.02288896,129,False,63.325107,0.037074718,6248,False
